subject_id,task,data_path,label_path,has_data,has_label,excluded_reason
Sub13,WAK,data\source\SIAT_LLMD20230404\Sub13\Data\Sub13_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub13\Labels\Sub13_WAK_Label.csv,True,True,
Sub14,WAK,data\source\SIAT_LLMD20230404\Sub14\Data\Sub14_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub14\Labels\Sub14_WAK_Label.csv,True,True,
Sub15,WAK,data\source\SIAT_LLMD20230404\Sub15\Data\Sub15_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub15\Labels\Sub15_WAK_Label.csv,True,True,
Sub16,WAK,data\source\SIAT_LLMD20230404\Sub16\Data\Sub16_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub16\Labels\Sub16_WAK_Label.csv,True,True,
Sub17,WAK,data\source\SIAT_LLMD20230404\Sub17\Data\Sub17_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub17\Labels\Sub17_WAK_Label.csv,True,True,
Sub19,WAK,data\source\SIAT_LLMD20230404\Sub19\Data\Sub19_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub19\Labels\Sub19_WAK_Label.csv,True,True,
Sub20,WAK,data\source\SIAT_LLMD20230404\Sub20\Data\Sub20_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub20\Labels\Sub20_WAK_Label.csv,True,True,
Sub21,WAK,data\source\SIAT_LLMD20230404\Sub21\Data\Sub21_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub21\Labels\Sub21_WAK_Label.csv,True,True,
Sub22,WAK,data\source\SIAT_LLMD20230404\Sub22\Data\Sub22_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub22\Labels\Sub22_WAK_Label.csv,True,True,
Sub23,WAK,data\source\SIAT_LLMD20230404\Sub23\Data\Sub23_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub23\Labels\Sub23_WAK_Label.csv,True,True,
Sub24,WAK,data\source\SIAT_LLMD20230404\Sub24\Data\Sub24_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub24\Labels\Sub24_WAK_Label.csv,True,True,
Sub25,WAK,data\source\SIAT_LLMD20230404\Sub25\Data\Sub25_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub25\Labels\Sub25_WAK_Label.csv,True,True,
Sub26,WAK,data\source\SIAT_LLMD20230404\Sub26\Data\Sub26_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub26\Labels\Sub26_WAK_Label.csv,True,True,
Sub27,WAK,data\source\SIAT_LLMD20230404\Sub27\Data\Sub27_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub27\Labels\Sub27_WAK_Label.csv,True,True,
Sub28,WAK,data\source\SIAT_LLMD20230404\Sub28\Data\Sub28_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub28\Labels\Sub28_WAK_Label.csv,True,True,
Sub29,WAK,data\source\SIAT_LLMD20230404\Sub29\Data\Sub29_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub29\Labels\Sub29_WAK_Label.csv,True,True,
Sub30,WAK,data\source\SIAT_LLMD20230404\Sub30\Data\Sub30_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub30\Labels\Sub30_WAK_Label.csv,True,True,
Sub31,WAK,data\source\SIAT_LLMD20230404\Sub31\Data\Sub31_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub31\Labels\Sub31_WAK_Label.csv,True,True,
Sub32,WAK,data\source\SIAT_LLMD20230404\Sub32\Data\Sub32_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub32\Labels\Sub32_WAK_Label.csv,True,True,
Sub33,WAK,data\source\SIAT_LLMD20230404\Sub33\Data\Sub33_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub33\Labels\Sub33_WAK_Label.csv,True,True,
Sub34,WAK,data\source\SIAT_LLMD20230404\Sub34\Data\Sub34_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub34\Labels\Sub34_WAK_Label.csv,True,True,
Sub35,WAK,data\source\SIAT_LLMD20230404\Sub35\Data\Sub35_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub35\Labels\Sub35_WAK_Label.csv,True,True,
Sub36,WAK,data\source\SIAT_LLMD20230404\Sub36\Data\Sub36_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub36\Labels\Sub36_WAK_Label.csv,True,True,
Sub37,WAK,data\source\SIAT_LLMD20230404\Sub37\Data\Sub37_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub37\Labels\Sub37_WAK_Label.csv,True,True,
Sub38,WAK,data\source\SIAT_LLMD20230404\Sub38\Data\Sub38_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub38\Labels\Sub38_WAK_Label.csv,True,True,
Sub39,WAK,data\source\SIAT_LLMD20230404\Sub39\Data\Sub39_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub39\Labels\Sub39_WAK_Label.csv,True,True,
Sub40,WAK,data\source\SIAT_LLMD20230404\Sub40\Data\Sub40_WAK_Data.csv,data\source\SIAT_LLMD20230404\Sub40\Labels\Sub40_WAK_Label.csv,True,True,
