phase_interval,functional_phase,channel,mean,std,subject_count,task,label_schema,processing_level,ci95_low,ci95_high,insufficient_subject_count
MWF-HS,swing_recovery,sEMG: tensor fascia lata,-0.0172867198694326,0.0004157354035886682,39,WAK,wak_5_interval,mean_aggregated,-0.01810156126046639,-0.016471878478398812,False
MWF-HS,swing_recovery,sEMG: rectus femoris,-0.0024234596715419234,0.0003285400630956647,39,WAK,wak_5_interval,mean_aggregated,-0.003067398195209426,-0.0017795211478744207,False
MWF-HS,swing_recovery,sEMG: vastus medialis,-0.010762208219701884,0.0010385542598583988,39,WAK,wak_5_interval,mean_aggregated,-0.012797774569024346,-0.008726641870379422,False
MWF-HS,swing_recovery,sEMG: semimembranosus,-0.02466108613760528,0.000499334757868997,39,WAK,wak_5_interval,mean_aggregated,-0.025639782263028515,-0.023682390012182045,False
MWF-HS,swing_recovery,sEMG: upper tibialis anterior,0.004834177612947318,0.000502771148044961,39,WAK,wak_5_interval,mean_aggregated,0.0038487461627791947,0.005819609063115442,False
MWF-HS,swing_recovery,sEMG: lower tibialis anterior,-0.033186870276858564,0.0004487587968836439,39,WAK,wak_5_interval,mean_aggregated,-0.034066437518750506,-0.03230730303496662,False
MWF-HS,swing_recovery,sEMG: lateral gastrocnemius,-0.004158166740263986,0.00031039068732754955,39,WAK,wak_5_interval,mean_aggregated,-0.004766532487425983,-0.0035498009931019888,False
MWF-HS,swing_recovery,sEMG: medial gastrocnemius,0.00281851345899815,0.0006015677563624903,39,WAK,wak_5_interval,mean_aggregated,0.001639440656527669,0.0039975862614686315,False
MWF-HS,swing_recovery,sEMG: soleus,-0.0053395400766889315,0.00043787668073839525,39,WAK,wak_5_interval,mean_aggregated,-0.006197778370936186,-0.004481301782441677,False
TO-MWF,push_off_to_swing_transition,sEMG: tensor fascia lata,-0.017569887687790865,0.0009149303562442397,39,WAK,wak_5_interval,mean_aggregated,-0.019363151186029576,-0.015776624189552155,False
TO-MWF,push_off_to_swing_transition,sEMG: rectus femoris,-0.0024300420324992657,0.0004608621909924081,39,WAK,wak_5_interval,mean_aggregated,-0.0033333319268443857,-0.0015267521381541458,False
TO-MWF,push_off_to_swing_transition,sEMG: vastus medialis,-0.010355747774143359,0.0021153653180308704,39,WAK,wak_5_interval,mean_aggregated,-0.014501863797483864,-0.006209631750802853,False
TO-MWF,push_off_to_swing_transition,sEMG: semimembranosus,-0.024442636635902775,0.000709041731814965,39,WAK,wak_5_interval,mean_aggregated,-0.025832358430260105,-0.023052914841545445,False
TO-MWF,push_off_to_swing_transition,sEMG: upper tibialis anterior,0.004687352490222081,0.0005789581661654679,39,WAK,wak_5_interval,mean_aggregated,0.003552594484537764,0.0058221104959063985,False
TO-MWF,push_off_to_swing_transition,sEMG: lower tibialis anterior,-0.03324482581822149,0.0005907372801410012,39,WAK,wak_5_interval,mean_aggregated,-0.03440267088729785,-0.03208698074914513,False
TO-MWF,push_off_to_swing_transition,sEMG: lateral gastrocnemius,-0.0041706312378836236,0.0008207614927611367,39,WAK,wak_5_interval,mean_aggregated,-0.005779323763695452,-0.0025619387120717953,False
TO-MWF,push_off_to_swing_transition,sEMG: medial gastrocnemius,0.002677286549584404,0.0006512324695240731,39,WAK,wak_5_interval,mean_aggregated,0.0014008709093172207,0.0039537021898515875,False
TO-MWF,push_off_to_swing_transition,sEMG: soleus,-0.00553310399352275,0.0005227317653973208,39,WAK,wak_5_interval,mean_aggregated,-0.006557658253701499,-0.0045085497333440016,False
