phase_interval,functional_phase,channel,mean,std,subject_count,task,label_schema,processing_level,ci95_low,ci95_high,insufficient_subject_count
MWF-HS,swing_recovery,Kinetic: left ankle flexion torque,-1.9543628366887185,0.7157407778834426,39,WAK,wak_5_interval,mean_aggregated,-3.357214761340266,-0.5515109120371711,False
MWF-HS,swing_recovery,Kinetic: right hip adduction torque,-43.31934522738199,9.242919016493326,39,WAK,wak_5_interval,mean_aggregated,-61.43546649970891,-25.20322395505507,False
MWF-HS,swing_recovery,Kinetic: right hip flexion torque,8.894234607602016,8.517268902994473,39,WAK,wak_5_interval,mean_aggregated,-7.799612442267151,25.588081657471182,False
MWF-HS,swing_recovery,Kinetic: right knee flexion torque,12.275737536708785,7.9742218856038605,39,WAK,wak_5_interval,mean_aggregated,-3.353737359074781,27.905212432492352,False
MWF-HS,swing_recovery,Kinetic: right ankle flexion torque,-54.50607562751006,9.8057038914132,39,WAK,wak_5_interval,mean_aggregated,-73.72525525467992,-35.286896000340185,False
TO-MWF,push_off_to_swing_transition,Kinetic: left hip adduction torque,6.413478985669789,1.241600911299797,39,WAK,wak_5_interval,mean_aggregated,3.979941199522187,8.84701677181739,False
TO-MWF,push_off_to_swing_transition,Kinetic: left hip flexion torque,11.387277044654983,4.500181595435434,39,WAK,wak_5_interval,mean_aggregated,2.5669211176015327,20.207632971708435,False
TO-MWF,push_off_to_swing_transition,Kinetic: left knee flexion torque,-1.036320016161312,2.0212346330392577,39,WAK,wak_5_interval,mean_aggregated,-4.997939896918257,2.925299864595633,False
TO-MWF,push_off_to_swing_transition,Kinetic: left ankle flexion torque,-2.3584584863417755,0.961355153890703,39,WAK,wak_5_interval,mean_aggregated,-4.242714587967553,-0.4742023847159975,False
TO-MWF,push_off_to_swing_transition,Kinetic: right hip adduction torque,-44.71498867182178,8.852152449381483,39,WAK,wak_5_interval,mean_aggregated,-62.06520747260949,-27.36476987103407,False
TO-MWF,push_off_to_swing_transition,Kinetic: right hip flexion torque,-13.728539433974134,10.23049997538927,39,WAK,wak_5_interval,mean_aggregated,-33.7803193857371,6.3232405177888324,False
TO-MWF,push_off_to_swing_transition,Kinetic: right knee flexion torque,-10.528203149138456,11.716122084243324,39,WAK,wak_5_interval,mean_aggregated,-33.49180243425537,12.435396135978458,False
TO-MWF,push_off_to_swing_transition,Kinetic: right ankle flexion torque,-15.674056779333863,5.889192704779402,39,WAK,wak_5_interval,mean_aggregated,-27.21687448070149,-4.131239077966235,False
